,edge_id,samples,origin,target,ks statistic,ks p-value,reversible
0,WayPoint69_WayPoint70,467,WayPoint69,WayPoint70,0.17851434086316614,2.1211424805045453e-05,False
1,WayPoint70_WayPoint71,456,WayPoint70,WayPoint71,0.0878522062732589,0.07032765802586805,True
2,WayPoint72_WayPoint71,408,WayPoint72,WayPoint71,0.20018207282913164,4.2256736865198263e-07,False
3,WayPoint71_WayPoint70,396,WayPoint71,WayPoint70,0.0878522062732589,0.07032765802586805,True
4,WayPoint68_WayPoint69,356,WayPoint68,WayPoint69,0.25939093660599527,1.3157525069473763e-09,False
5,WayPoint71_WayPoint72,350,WayPoint71,WayPoint72,0.20018207282913164,4.2256736865198263e-07,False
6,WayPoint73_WayPoint72,334,WayPoint73,WayPoint72,0.3892795055051188,6.5503158452884236e-15,False
7,WayPoint75_WayPoint68,301,WayPoint75,WayPoint68,0.17103405315614617,0.003771410754223492,False
8,WayPoint70_WayPoint69,284,WayPoint70,WayPoint69,0.17851434086316614,2.1211424805045453e-05,False
9,WayPoint69_WayPoint68,271,WayPoint69,WayPoint68,0.25939093660599527,1.3157525069473763e-09,False
10,WayPoint53_WayPoint46,271,WayPoint53,WayPoint46,0.05797785977859778,0.7438951034272604,True
11,WayPoint39_WayPoint46,251,WayPoint39,WayPoint46,0.1508964143426295,0.061954698969537425,True
12,WayPoint46_WayPoint53,250,WayPoint46,WayPoint53,0.05797785977859778,0.7438951034272604,True
13,WayPoint53_WayPoint60,246,WayPoint53,WayPoint60,0.12551484545682462,0.04324896183497362,False
14,WayPoint74_WayPoint67,246,WayPoint74,WayPoint67,0.32021032166843405,4.618374571663253e-10,False
15,WayPoint60_WayPoint67,245,WayPoint60,WayPoint67,0.12042987407729049,0.08227332116316488,True
16,WayPoint60_WayPoint53,227,WayPoint60,WayPoint53,0.12551484545682462,0.04324896183497362,False
17,WayPoint81_WayPoint74,198,WayPoint81,WayPoint74,0.3769271664008506,0.0001435062200351167,False
18,WayPoint82_WayPoint75,189,WayPoint82,WayPoint75,0.15192743764172337,0.08976242321932582,True
19,WayPoint108_WayPoint109,188,WayPoint108,WayPoint109,0.21185410334346505,0.0012027698294881928,False
20,WayPoint67_WayPoint60,188,WayPoint67,WayPoint60,0.12042987407729049,0.08227332116316488,True
21,WayPoint102_WayPoint109,185,WayPoint102,WayPoint109,0.10668745668745669,0.26493185523627294,True
22,WayPoint67_WayPoint74,184,WayPoint67,WayPoint74,0.32021032166843405,4.618374571663253e-10,False
23,WayPoint68_WayPoint75,160,WayPoint68,WayPoint75,0.17103405315614617,0.003771410754223492,False
24,WayPoint109_WayPoint102,156,WayPoint109,WayPoint102,0.10668745668745669,0.26493185523627294,True
25,WayPoint72_WayPoint73,155,WayPoint72,WayPoint73,0.3892795055051188,6.5503158452884236e-15,False
26,WayPoint74_WayPoint73,152,WayPoint74,WayPoint73,,,False
27,WayPoint95_WayPoint102,144,WayPoint95,WayPoint102,0.07999781277340333,0.7394616747873314,True
28,WayPoint109_WayPoint108,140,WayPoint109,WayPoint108,0.21185410334346505,0.0012027698294881928,False
29,WayPoint107_WayPoint108,140,WayPoint107,WayPoint108,0.4218199608610568,3.364132417082999e-08,False
30,WayPoint110_WayPoint68,131,WayPoint110,WayPoint68,,,False
31,WayPoint112_WayPoint82,130,WayPoint112,WayPoint82,,,False
32,WayPoint102_WayPoint95,127,WayPoint102,WayPoint95,0.07999781277340333,0.7394616747873314,True
33,WayPoint111_WayPoint75,126,WayPoint111,WayPoint75,,,False
34,WayPoint95_WayPoint88,116,WayPoint95,WayPoint88,0.18089764641488779,0.11837189083750632,True
35,WayPoint46_WayPoint39,104,WayPoint46,WayPoint39,0.1508964143426295,0.061954698969537425,True
36,WayPoint32_WayPoint39,98,WayPoint32,WayPoint39,0.5338589981447124,1.6475917630209835e-08,False
37,WayPoint75_WayPoint82,98,WayPoint75,WayPoint82,0.15192743764172337,0.08976242321932582,True
38,WayPoint94_WayPoint95,84,WayPoint94,WayPoint95,0.2712215320910973,0.11361727477162065,True
39,WayPoint89_WayPoint82,83,WayPoint89,WayPoint82,0.5403151065801668,1.1615936901243629e-07,False
40,WayPoint68_WayPoint61,80,WayPoint68,WayPoint61,0.8815217391304347,1.087028471687538e-34,False
41,WayPoint61_WayPoint54,80,WayPoint61,WayPoint54,,,False
42,WayPoint108_WayPoint107,73,WayPoint108,WayPoint107,0.4218199608610568,3.364132417082999e-08,False
43,WayPoint106_WayPoint107,70,WayPoint106,WayPoint107,,,False
44,WayPoint61_WayPoint68,69,WayPoint61,WayPoint68,0.8815217391304347,1.087028471687538e-34,False
45,WayPoint81_WayPoint88,68,WayPoint81,WayPoint88,0.1932404540763674,0.16739981680951754,True
46,WayPoint88_WayPoint95,63,WayPoint88,WayPoint95,0.18089764641488779,0.11837189083750632,True
47,WayPoint48_WayPoint49,60,WayPoint48,WayPoint49,,,False
48,WayPoint52_WayPoint53,60,WayPoint52,WayPoint53,,,False
49,WayPoint47_WayPoint48,60,WayPoint47,WayPoint48,,,False
50,WayPoint54_WayPoint47,60,WayPoint54,WayPoint47,,,False
51,WayPoint49_WayPoint50,60,WayPoint49,WayPoint50,,,False
52,WayPoint50_WayPoint51,60,WayPoint50,WayPoint51,,,False
53,WayPoint51_WayPoint52,60,WayPoint51,WayPoint52,,,False
54,WayPoint113_WayPoint89,59,WayPoint113,WayPoint89,,,False
55,WayPoint114_WayPoint96,59,WayPoint114,WayPoint96,,,False
56,WayPoint88_WayPoint81,57,WayPoint88,WayPoint81,0.1932404540763674,0.16739981680951754,True
57,WayPoint93_WayPoint94,56,WayPoint93,WayPoint94,,,False
58,WayPoint101_WayPoint102,55,WayPoint101,WayPoint102,,,False
59,WayPoint89_WayPoint90,46,WayPoint89,WayPoint90,,,False
60,WayPoint91_WayPoint92,46,WayPoint91,WayPoint92,,,False
61,WayPoint90_WayPoint91,46,WayPoint90,WayPoint91,,,False
62,WayPoint96_WayPoint89,46,WayPoint96,WayPoint89,0.6304347826086957,6.659822616517097e-05,False
63,WayPoint39_WayPoint32,44,WayPoint39,WayPoint32,0.5338589981447124,1.6475917630209835e-08,False
64,WayPoint25_WayPoint32,40,WayPoint25,WayPoint32,,,False
65,WayPoint82_WayPoint89,39,WayPoint82,WayPoint89,0.5403151065801668,1.1615936901243629e-07,False
66,WayPoint74_WayPoint81,38,WayPoint74,WayPoint81,0.3769271664008506,0.0001435062200351167,False
67,WayPoint87_WayPoint88,37,WayPoint87,WayPoint88,,,False
68,WayPoint92_WayPoint93,33,WayPoint92,WayPoint93,,,False
69,WayPoint96_WayPoint97,26,WayPoint96,WayPoint97,,,False
70,WayPoint98_WayPoint99,26,WayPoint98,WayPoint99,,,False
71,WayPoint99_WayPoint100,26,WayPoint99,WayPoint100,,,False
72,WayPoint97_WayPoint98,26,WayPoint97,WayPoint98,,,False
73,WayPoint95_WayPoint94,23,WayPoint95,WayPoint94,0.2712215320910973,0.11361727477162065,True
74,WayPoint56_WayPoint57,20,WayPoint56,WayPoint57,,,False
75,WayPoint58_WayPoint59,20,WayPoint58,WayPoint59,,,False
76,WayPoint54_WayPoint55,20,WayPoint54,WayPoint55,,,False
77,WayPoint55_WayPoint56,20,WayPoint55,WayPoint56,,,False
78,WayPoint57_WayPoint58,20,WayPoint57,WayPoint58,,,False
79,WayPoint89_WayPoint96,15,WayPoint89,WayPoint96,0.6304347826086957,6.659822616517097e-05,False
80,WayPoint100_WayPoint101,13,WayPoint100,WayPoint101,,,False
81,WayPoint82_WayPoint83,11,WayPoint82,WayPoint83,,,False
82,WayPoint83_WayPoint84,11,WayPoint83,WayPoint84,,,False
83,WayPoint84_WayPoint85,11,WayPoint84,WayPoint85,,,False
84,WayPoint85_WayPoint86,11,WayPoint85,WayPoint86,,,False
85,WayPoint105_WayPoint106,2,WayPoint105,WayPoint106,,,False
86,WayPoint103_WayPoint104,2,WayPoint103,WayPoint104,,,False
87,WayPoint104_WayPoint105,2,WayPoint104,WayPoint105,,,False
88,WayPoint96_WayPoint103,2,WayPoint96,WayPoint103,,,False
