,edge_id
WayPoint70_WayPoint71,443
WayPoint71_WayPoint70,382
WayPoint68_WayPoint69,353
WayPoint69_WayPoint70,340
WayPoint71_WayPoint72,334
WayPoint72_WayPoint71,308
WayPoint75_WayPoint68,301
WayPoint69_WayPoint68,268
WayPoint70_WayPoint69,267
WayPoint53_WayPoint46,262
WayPoint46_WayPoint53,238
WayPoint60_WayPoint67,236
WayPoint53_WayPoint60,232
WayPoint82_WayPoint75,189
WayPoint74_WayPoint67,188
WayPoint67_WayPoint60,182
WayPoint67_WayPoint74,181
WayPoint102_WayPoint109,177
WayPoint60_WayPoint53,165
WayPoint68_WayPoint75,160
WayPoint73_WayPoint72,150
WayPoint72_WayPoint73,149
WayPoint109_WayPoint102,148
WayPoint95_WayPoint102,139
WayPoint108_WayPoint109,133
WayPoint109_WayPoint108,126
WayPoint102_WayPoint95,125
WayPoint39_WayPoint46,99
WayPoint75_WayPoint82,98
WayPoint46_WayPoint39,91
WayPoint68_WayPoint61,80
WayPoint61_WayPoint54,80
WayPoint89_WayPoint82,80
WayPoint108_WayPoint107,72
WayPoint107_WayPoint108,71
WayPoint88_WayPoint95,61
WayPoint51_WayPoint52,60
WayPoint50_WayPoint51,60
WayPoint47_WayPoint48,60
WayPoint54_WayPoint47,60
WayPoint52_WayPoint53,60
WayPoint48_WayPoint49,60
WayPoint49_WayPoint50,60
WayPoint95_WayPoint88,59
WayPoint88_WayPoint81,57
WayPoint81_WayPoint74,56
WayPoint111_WayPoint75,56
WayPoint110_WayPoint68,54
WayPoint112_WayPoint82,53
WayPoint114_WayPoint96,47
WayPoint89_WayPoint90,46
WayPoint90_WayPoint91,46
WayPoint91_WayPoint92,46
WayPoint96_WayPoint89,46
WayPoint39_WayPoint32,44
WayPoint113_WayPoint89,44
WayPoint32_WayPoint39,40
WayPoint74_WayPoint81,37
WayPoint81_WayPoint88,37
WayPoint82_WayPoint89,35
WayPoint92_WayPoint93,33
WayPoint94_WayPoint95,33
WayPoint99_WayPoint100,26
WayPoint96_WayPoint97,26
WayPoint98_WayPoint99,26
WayPoint97_WayPoint98,26
WayPoint95_WayPoint94,23
WayPoint56_WayPoint57,20
WayPoint93_WayPoint94,20
WayPoint55_WayPoint56,20
WayPoint58_WayPoint59,20
WayPoint57_WayPoint58,20
WayPoint54_WayPoint55,20
WayPoint89_WayPoint96,15
WayPoint100_WayPoint101,13
WayPoint101_WayPoint102,13
WayPoint83_WayPoint84,11
WayPoint82_WayPoint83,11
WayPoint85_WayPoint86,11
WayPoint84_WayPoint85,11
WayPoint103_WayPoint104,2
WayPoint104_WayPoint105,2
WayPoint74_WayPoint73,2
WayPoint96_WayPoint103,2
WayPoint105_WayPoint106,2
WayPoint25_WayPoint32,1
