,edge_id
WayPoint68_WayPoint61,366
WayPoint61_WayPoint54,349
WayPoint75_WayPoint68,320
WayPoint54_WayPoint47,303
WayPoint47_WayPoint40,268
WayPoint82_WayPoint75,267
WayPoint40_WayPoint33,228
WayPoint89_WayPoint82,205
WayPoint54_WayPoint61,195
WayPoint33_WayPoint26,192
WayPoint61_WayPoint68,189
WayPoint47_WayPoint54,181
WayPoint40_WayPoint47,174
WayPoint67_WayPoint60,173
WayPoint60_WayPoint53,173
WayPoint53_WayPoint46,172
WayPoint68_WayPoint75,170
WayPoint53_WayPoint60,167
WayPoint60_WayPoint67,167
WayPoint46_WayPoint53,162
WayPoint26_WayPoint19,162
WayPoint75_WayPoint82,160
WayPoint46_WayPoint39,159
WayPoint33_WayPoint40,157
WayPoint74_WayPoint67,155
WayPoint39_WayPoint46,151
WayPoint74_WayPoint81,149
WayPoint67_WayPoint74,147
WayPoint81_WayPoint74,143
WayPoint26_WayPoint33,143
WayPoint82_WayPoint89,141
WayPoint39_WayPoint32,134
WayPoint88_WayPoint81,134
WayPoint81_WayPoint88,133
WayPoint32_WayPoint39,126
WayPoint96_WayPoint89,120
WayPoint19_WayPoint13,119
WayPoint19_WayPoint26,119
WayPoint25_WayPoint32,109
WayPoint32_WayPoint25,106
WayPoint24_WayPoint25,104
WayPoint95_WayPoint88,103
WayPoint88_WayPoint95,99
WayPoint25_WayPoint24,98
WayPoint89_WayPoint96,95
WayPoint13_WayPoint19,89
WayPoint13_WayPoint7,81
WayPoint24_WayPoint18,80
WayPoint102_WayPoint95,73
WayPoint18_WayPoint24,73
WayPoint95_WayPoint102,65
WayPoint7_WayPoint13,60
WayPoint110_WayPoint68,57
WayPoint112_WayPoint82,55
WayPoint47_WayPoint48,54
WayPoint113_WayPoint89,53
WayPoint114_WayPoint96,53
WayPoint12_WayPoint18,53
WayPoint18_WayPoint12,51
WayPoint111_WayPoint75,49
WayPoint48_WayPoint49,48
WayPoint52_WayPoint53,47
