,edge_id
SuppLocker5_SuppLocker7,502
SuppLocker13_SuppLocker14,354
CorpLockInside_LockCorridor,272
LockCorridor_SuppLockInside,269
SuppLockInside_LockCorridor,257
LockCorridor_CorpLockInside,256
KitchenEntrance_Station,253
Station_ChargingPoint,252
CorpLocker5_CorpLocker6,242
KitchenCounter1_Station,227
CorpLocker6_CorpLocker5,221
SuppLockOutside_SuppLockInside,221
CorpLockInside_CorpLockOutside,208
CorpTransWP4_CorpLocker5,206
CorpLocker7_CorpLocker6,182
CorpTransWP1_GlassCorridor3,180
GlassCorridor2_GlassCorridor3,179
CorpLockOutside_CorpLockInside,179
Station_KitchenEntrance,178
CorpTransWP4_CorpTransWP2,177
CorpTransWP2_CorpTransWP4,176
NewNode0_SuppLockOutside,175
CorpLocker8_CorpLockOutside,175
CorpLocker6_CorpLocker7,174
SuppLockOutside_LearningTable1,173
CorpLocker7_CorpLocker8,168
KitchenEntrance_NewNode0,168
GlassCorridor3_GlassCorridor2,166
SuppLockInside_SuppLockOutside,162
CorpLocker8_CorpLocker7,158
Station_KitchenCounter1,149
SuppLocker7_SuppLocker5,145
SuppTransWP1_SuppLocker2,144
CorpActRec2_CorpActRec3,142
CorpLocker5_CorpTransWP4,141
CorpLockOutside_CorpLocker8,140
HospActRec4_GlassCorridor3,132
KitchenEntrance_NewArea1,131
GlassCorridor3_HospActRec4,128
SuppLocker2_SuppTransWP1,127
KitchenPod2_KitchenPod3,120
Station_KitchenActRec1,119
CorpMeetingPod2_CorpActRec2,118
NewNode0_KitchenEntrance,117
SuppLockOutside_NewNode0,116
LearningTable1_SuppLockOutside,111
KitchenCounter2_KitchenCounter1,111
HospEmptySpace_HospActRec2,109
CorpLocker1_CorpTransWP4,107
HospTriangularTable1_HospEmptySpace,106
CorpActRec3_CorpActRec2,106
CorpTransWP1_CorpTransWP2,106
NewArea1_KitchenEntrance,99
SmallKitchen_HospActRec4,99
NewArea5_NewArea6,96
NewArea5_NewArea3,96
NewArea8_NewArea6,96
NewArea6_NewArea8,96
NewArea6_NewArea5,96
KitchenEntrance_KitchenActRec1,96
GlassCorridor2_GlassCorridor1,93
CorpActRec3_CorpLocker7,93
HospActRec4_SmallKitchen,92
NewArea3_NewArea5,92
GlassCorridor0_GlassCorridor1,91
KitchenPod1_KitchenPod2,91
CorpTransWP2_CorpTransWP1,90
Station1_SmallKitchen,90
CorpActRec2_CorpMeetingPod2,89
CorpLocker7_CorpActRec3,89
NewArea1_NewArea8,89
GlassCorridor1_GlassCorridor0,88
GlassCorridor0_FrontDoor,87
